Old relationship type;Origin;Target;New relationship type;Direction
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/application.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/application_building_block.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/physical_datastore.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/database.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/interface.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/physical_it_technology_item.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/basic_software.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/application_environment.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/communication_sw.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/dbms.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/middleware.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/service_software.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/computing_system.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/mainframe.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/server.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/service_system.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/workstn_pc.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
http://xml.metis.no/xml/relationship_types/implemented_by-implements3.kmd#oid1;http://xml.metis.no/xml/object_types/equipment.kmd#oid1;http://xml.metis.no/xml/object_types/standard.kmd#oid1;http://xml.metis.no/xml/relationship_types/uses-used_by5.kmd#oid1;out
